  500000 tails, 500000 wides checked, bad=[] (4168.5s)
  1000000 tails, 1000000 wides checked, bad=[] (7188.9s)
  1500000 tails, 1500000 wides checked, bad=[] (8104.7s)
  2000000 tails, 2000000 wides checked, bad=[] (8971.9s)
  2500000 tails, 2500000 wides checked, bad=[] (12411.4s)
  3000000 tails, 3000000 wides checked, bad=[] (16157.4s)
  3500000 tails, 3500000 wides checked, bad=[] (17292.8s)
  4000000 tails, 4000000 wides checked, bad=[] (18383.0s)
  4500000 tails, 4500000 wides checked, bad=[] (18845.6s)
  5000000 tails, 5000000 wides checked, bad=[] (19152.2s)
  5500000 tails, 5500000 wides checked, bad=[] (19453.9s)
  6000000 tails, 6000000 wides checked, bad=[] (19735.8s)
  6500000 tails, 6500000 wides checked, bad=[] (20045.2s)
  7000000 tails, 7000000 wides checked, bad=[] (20342.3s)
  7500000 tails, 7500000 wides checked, bad=[] (20637.1s)
  8000000 tails, 8000000 wides checked, bad=[] (20939.7s)
  8500000 tails, 8500000 wides checked, bad=[] (21232.4s)
  9000000 tails, 9000000 wides checked, bad=[] (21525.3s)
  9500000 tails, 9500000 wides checked, bad=[] (21826.2s)
  10000000 tails, 10000000 wides checked, bad=[] (22120.1s)
  10500000 tails, 10500000 wides checked, bad=[] (22413.8s)
  11000000 tails, 11000000 wides checked, bad=[] (22702.4s)
  11500000 tails, 11500000 wides checked, bad=[] (22988.6s)
  12000000 tails, 12000000 wides checked, bad=[] (23266.4s)
  12500000 tails, 12940494 wides checked, bad=[] (26990.0s)
  13000000 tails, 13940494 wides checked, bad=[] (29692.7s)
  13500000 tails, 14940494 wides checked, bad=[] (30621.2s)
  14000000 tails, 15940494 wides checked, bad=[] (32381.2s)
  14500000 tails, 16940494 wides checked, bad=[] (37682.6s)
  15000000 tails, 17940494 wides checked, bad=[] (39083.7s)
  15500000 tails, 18940494 wides checked, bad=[] (40457.8s)
  16000000 tails, 19940494 wides checked, bad=[] (40910.1s)
  16500000 tails, 20940494 wides checked, bad=[] (41373.5s)
  17000000 tails, 21940494 wides checked, bad=[] (41779.3s)
  17500000 tails, 22940494 wides checked, bad=[] (42155.9s)
  18000000 tails, 23940494 wides checked, bad=[] (42522.2s)
  18500000 tails, 24940494 wides checked, bad=[] (42896.8s)
  19000000 tails, 25940494 wides checked, bad=[] (43255.6s)
  19500000 tails, 26940494 wides checked, bad=[] (43620.3s)
  20000000 tails, 27940494 wides checked, bad=[] (43983.5s)
  20500000 tails, 28940494 wides checked, bad=[] (44339.0s)
  21000000 tails, 29940494 wides checked, bad=[] (44700.7s)
  21500000 tails, 30940494 wides checked, bad=[] (45050.9s)
  22000000 tails, 32073679 wides checked, bad=[] (46662.4s)
  22500000 tails, 33573679 wides checked, bad=[] (50629.5s)
  23000000 tails, 35073679 wides checked, bad=[] (51881.8s)
  23500000 tails, 36573679 wides checked, bad=[] (53900.9s)
  24000000 tails, 38073679 wides checked, bad=[] (58057.5s)
  24500000 tails, 39573679 wides checked, bad=[] (59314.7s)
  25000000 tails, 41073679 wides checked, bad=[] (60054.0s)
  25500000 tails, 42573679 wides checked, bad=[] (60505.6s)
  26000000 tails, 44073679 wides checked, bad=[] (60924.2s)
  26500000 tails, 45573679 wides checked, bad=[] (61368.3s)
  27000000 tails, 47073679 wides checked, bad=[] (61798.8s)
  27500000 tails, 48573679 wides checked, bad=[] (62234.4s)
  28000000 tails, 50073679 wides checked, bad=[] (62660.1s)
  28500000 tails, 51573679 wides checked, bad=[] (63088.8s)
  29000000 tails, 53073679 wides checked, bad=[] (63509.3s)
  29500000 tails, 54573679 wides checked, bad=[] (63932.8s)
