n=1: 1 shapes, LTC (type=delta) verified (0.0s, total 0.0s)
n=2: 2 shapes, LTC (type=delta) verified (0.0s, total 0.0s)
n=3: 3 shapes, LTC (type=delta) verified (0.0s, total 0.0s)
n=4: 5 shapes, LTC (type=delta) verified (0.0s, total 0.0s)
n=5: 7 shapes, LTC (type=delta) verified (0.0s, total 0.1s)
n=6: 11 shapes, LTC (type=delta) verified (0.0s, total 0.1s)
n=7: 15 shapes, LTC (type=delta) verified (0.1s, total 0.2s)
n=8: 22 shapes, LTC (type=delta) verified (0.0s, total 0.3s)
n=9: 30 shapes, LTC (type=delta) verified (0.0s, total 0.3s)
n=10: 42 shapes, LTC (type=delta) verified (0.1s, total 0.4s)
n=11: 56 shapes, LTC (type=delta) verified (0.3s, total 0.7s)
n=12: 77 shapes, LTC (type=delta) verified (0.1s, total 0.8s)
n=13: 101 shapes, LTC (type=delta) verified (0.2s, total 0.9s)
n=14: 135 shapes, LTC (type=delta) verified (0.1s, total 1.1s)
n=15: 176 shapes, LTC (type=delta) verified (0.2s, total 1.3s)
n=16: 231 shapes, LTC (type=delta) verified (0.3s, total 1.5s)
n=17: 297 shapes, LTC (type=delta) verified (0.4s, total 1.9s)
n=18: 385 shapes, LTC (type=delta) verified (0.6s, total 2.5s)
n=19: 490 shapes, LTC (type=delta) verified (0.7s, total 3.2s)
n=20: 627 shapes, LTC (type=delta) verified (1.0s, total 4.1s)
n=21: 792 shapes, LTC (type=delta) verified (1.4s, total 5.6s)
n=22: 1002 shapes, LTC (type=delta) verified (1.8s, total 7.4s)
n=23: 1255 shapes, LTC (type=delta) verified (2.4s, total 9.8s)
n=24: 1575 shapes, LTC (type=delta) verified (3.5s, total 13.2s)
n=25: 1958 shapes, LTC (type=delta) verified (4.7s, total 17.9s)
n=26: 2436 shapes, LTC (type=delta) verified (5.8s, total 23.7s)
n=27: 3010 shapes, LTC (type=delta) verified (7.2s, total 30.9s)
n=28: 3718 shapes, LTC (type=delta) verified (10.9s, total 41.9s)
n=29: 4565 shapes, LTC (type=delta) verified (15.8s, total 57.7s)
n=30: 5604 shapes, LTC (type=delta) verified (20.0s, total 77.7s)
n=31: 6842 shapes, LTC (type=delta) verified (25.1s, total 102.7s)
n=32: 8349 shapes, LTC (type=delta) verified (33.3s, total 136.1s)
n=33: 10143 shapes, LTC (type=delta) verified (41.8s, total 177.8s)
n=34: 12310 shapes, LTC (type=delta) verified (49.0s, total 226.8s)
n=35: 14883 shapes, LTC (type=delta) verified (64.1s, total 290.9s)
n=36: 17977 shapes, LTC (type=delta) verified (77.3s, total 368.2s)
n=37: 21637 shapes, LTC (type=delta) verified (99.4s, total 467.5s)
n=38: 26015 shapes, LTC (type=delta) verified (128.2s, total 595.7s)
n=39: 31185 shapes, LTC (type=delta) verified (165.2s, total 760.9s)
n=40: 37338 shapes, LTC (type=delta) verified (199.6s, total 960.5s)
n=41: 44583 shapes, LTC (type=delta) verified (250.5s, total 1211.0s)
n=42: 53174 shapes, LTC (type=delta) verified (314.0s, total 1525.0s)
n=43: 63261 shapes, LTC (type=delta) verified (389.9s, total 1914.9s)
n=44: 75175 shapes, LTC (type=delta) verified (485.2s, total 2400.1s)
n=45: 89134 shapes, LTC (type=delta) verified (601.1s, total 3001.2s)
n=46: 105558 shapes, LTC (type=delta) verified (749.8s, total 3751.0s)
n=47: 124754 shapes, LTC (type=delta) verified (916.6s, total 4667.5s)
n=48: 147273 shapes, LTC (type=delta) verified (1143.3s, total 5810.8s)
n=49: 173525 shapes, LTC (type=delta) verified (1396.9s, total 7207.7s)
n=50: 204226 shapes, LTC (type=delta) verified (1710.4s, total 8918.1s)
n=51: 239943 shapes, LTC (type=delta) verified (2092.5s, total 11010.6s)
n=52: 281589 shapes, LTC (type=delta) verified (2545.9s, total 13556.5s)
n=53: 329931 shapes, LTC (type=delta) verified (3140.7s, total 16697.2s)
n=54: 386155 shapes, LTC (type=delta) verified (3938.8s, total 20636.0s)
n=55: 451276 shapes, LTC (type=delta) verified (4763.0s, total 25399.0s)
