n=1: 1 wide, all Latin — PASS
n=2: 1 wide, all Latin — PASS
n=3: 2 wide, all Latin — PASS
n=4: 3 wide, all Latin — PASS
n=5: 3 wide, all Latin — PASS
n=6: 5 wide, all Latin — PASS
n=7: 6 wide, all Latin — PASS
n=8: 9 wide, all Latin — PASS
n=9: 11 wide, all Latin — PASS
n=10: 14 wide, all Latin — PASS
n=11: 18 wide, all Latin — PASS
n=12: 23 wide, all Latin — PASS
n=13: 29 wide, all Latin — PASS
n=14: 35 wide, all Latin — PASS
n=15: 45 wide, all Latin — PASS
n=16: 56 wide, all Latin — PASS
n=17: 68 wide, all Latin — PASS
n=18: 85 wide, all Latin — PASS
n=19: 103 wide, all Latin — PASS
n=20: 125 wide, all Latin — PASS
n=21: 150 wide, all Latin — PASS
n=22: 183 wide, all Latin — PASS
n=23: 217 wide, all Latin — PASS
n=24: 266 wide, all Latin — PASS
n=25: 315 wide, all Latin — PASS
n=26: 380 wide, all Latin — PASS
n=27: 449 wide, all Latin — PASS
n=28: 534 wide, all Latin — PASS
n=29: 628 wide, all Latin — PASS
n=30: 745 wide, all Latin — PASS
n=31: 874 wide, all Latin — PASS
n=32: 1034 wide, all Latin — PASS
n=33: 1212 wide, all Latin — PASS
n=34: 1423 wide, all Latin — PASS
n=35: 1665 wide, all Latin — PASS
n=36: 1944 wide, all Latin — PASS
n=37: 2265 wide, all Latin — PASS
n=38: 2627 wide, all Latin — PASS
n=39: 3055 wide, all Latin — PASS
n=40: 3536 wide, all Latin — PASS
n=41: 4099 wide, all Latin — PASS
n=42: 4735 wide, all Latin — PASS
n=43: 5479 wide, all Latin — PASS
n=44: 6309 wide, all Latin — PASS
n=45: 7273 wide, all Latin — PASS
n=46: 8358 wide, all Latin — PASS
n=47: 9599 wide, all Latin — PASS
n=48: 11012 wide, all Latin — PASS
n=49: 12605 wide, all Latin — PASS
n=50: 14421 wide, all Latin — PASS
n=51: 16480 wide, all Latin — PASS
n=52: 18825 wide, all Latin — PASS
n=53: 21456 wide, all Latin — PASS
n=54: 24474 wide, all Latin — PASS
n=55: 27822 wide, all Latin — PASS
n=56: 31677 wide, all Latin — PASS
n=57: 35934 wide, all Latin — PASS
n=58: 40825 wide, all Latin — PASS
n=59: 46217 wide, all Latin — PASS
n=60: 52420 wide, all Latin — PASS
n=61: 59253 wide, all Latin — PASS
n=62: 67056 wide, all Latin — PASS
