resumed 0 counterexamples
[4s] iter 25: candidate 143 edges, 139 tris — colorable; blocked
[9s] iter 50: candidate 201 edges, 185 tris — colorable; blocked
[17s] iter 75: candidate 221 edges, 197 tris — colorable; blocked
[27s] iter 100: candidate 213 edges, 182 tris — colorable; blocked
[40s] iter 125: candidate 198 edges, 173 tris — colorable; blocked
[56s] iter 150: candidate 208 edges, 189 tris — colorable; blocked
[69s] iter 175: candidate 216 edges, 179 tris — colorable; blocked
[85s] iter 200: candidate 239 edges, 217 tris — colorable; blocked
[103s] iter 225: candidate 217 edges, 181 tris — colorable; blocked
[123s] iter 250: candidate 197 edges, 182 tris — colorable; blocked
[146s] iter 275: candidate 159 edges, 140 tris — colorable; blocked
[170s] iter 300: candidate 147 edges, 126 tris — colorable; blocked
[195s] iter 325: candidate 162 edges, 144 tris — colorable; blocked
[222s] iter 350: candidate 181 edges, 161 tris — colorable; blocked
[249s] iter 375: candidate 201 edges, 171 tris — colorable; blocked
[272s] iter 400: candidate 196 edges, 163 tris — colorable; blocked
[298s] iter 425: candidate 208 edges, 185 tris — colorable; blocked
[324s] iter 450: candidate 220 edges, 189 tris — colorable; blocked
[352s] iter 475: candidate 232 edges, 195 tris — colorable; blocked
[382s] iter 500: candidate 267 edges, 234 tris — colorable; blocked
[413s] iter 525: candidate 229 edges, 194 tris — colorable; blocked
[445s] iter 550: candidate 202 edges, 173 tris — colorable; blocked
[478s] iter 575: candidate 206 edges, 190 tris — colorable; blocked
[514s] iter 600: candidate 206 edges, 187 tris — colorable; blocked
[549s] iter 625: candidate 227 edges, 202 tris — colorable; blocked
[587s] iter 650: candidate 215 edges, 188 tris — colorable; blocked
[626s] iter 675: candidate 218 edges, 192 tris — colorable; blocked
[667s] iter 700: candidate 231 edges, 209 tris — colorable; blocked
[710s] iter 725: candidate 236 edges, 210 tris — colorable; blocked
[753s] iter 750: candidate 167 edges, 147 tris — colorable; blocked
[799s] iter 775: candidate 185 edges, 163 tris — colorable; blocked
[847s] iter 800: candidate 166 edges, 146 tris — colorable; blocked
[897s] iter 825: candidate 168 edges, 146 tris — colorable; blocked
[948s] iter 850: candidate 151 edges, 128 tris — colorable; blocked
[1000s] iter 875: candidate 156 edges, 138 tris — colorable; blocked
[1054s] iter 900: candidate 181 edges, 159 tris — colorable; blocked
[1111s] iter 925: candidate 201 edges, 176 tris — colorable; blocked
[1173s] iter 950: candidate 188 edges, 167 tris — colorable; blocked
[1234s] iter 975: candidate 175 edges, 160 tris — colorable; blocked
[1297s] iter 1000: candidate 189 edges, 166 tris — colorable; blocked
[1362s] iter 1025: candidate 195 edges, 180 tris — colorable; blocked
[1430s] iter 1050: candidate 203 edges, 186 tris — colorable; blocked
[1502s] iter 1075: candidate 174 edges, 155 tris — colorable; blocked
[1576s] iter 1100: candidate 177 edges, 166 tris — colorable; blocked
[1655s] iter 1125: candidate 170 edges, 146 tris — colorable; blocked
[1736s] iter 1150: candidate 163 edges, 142 tris — colorable; blocked
[1821s] iter 1175: candidate 187 edges, 173 tris — colorable; blocked
[1908s] iter 1200: candidate 171 edges, 154 tris — colorable; blocked
[1998s] iter 1225: candidate 165 edges, 146 tris — colorable; blocked
[2097s] iter 1250: candidate 140 edges, 122 tris — colorable; blocked
[2188s] iter 1275: candidate 138 edges, 117 tris — colorable; blocked
[2285s] iter 1300: candidate 159 edges, 140 tris — colorable; blocked
[2388s] iter 1325: candidate 151 edges, 139 tris — colorable; blocked
[2493s] iter 1350: candidate 154 edges, 142 tris — colorable; blocked
[2600s] iter 1375: candidate 151 edges, 136 tris — colorable; blocked
[2710s] iter 1400: candidate 139 edges, 121 tris — colorable; blocked
[2828s] iter 1425: candidate 138 edges, 121 tris — colorable; blocked
[2949s] iter 1450: candidate 136 edges, 115 tris — colorable; blocked
[3079s] iter 1475: candidate 128 edges, 112 tris — colorable; blocked
[3212s] iter 1500: candidate 123 edges, 109 tris — colorable; blocked
[3347s] iter 1525: candidate 113 edges, 103 tris — colorable; blocked
[3483s] iter 1550: candidate 128 edges, 119 tris — colorable; blocked
[3621s] iter 1575: candidate 142 edges, 135 tris — colorable; blocked
[3763s] iter 1600: candidate 141 edges, 134 tris — colorable; blocked
[3904s] iter 1625: candidate 126 edges, 120 tris — colorable; blocked
[4046s] iter 1650: candidate 123 edges, 108 tris — colorable; blocked
[4191s] iter 1675: candidate 133 edges, 118 tris — colorable; blocked
[4353s] iter 1700: candidate 171 edges, 155 tris — colorable; blocked
[4502s] iter 1725: candidate 153 edges, 140 tris — colorable; blocked
[4655s] iter 1750: candidate 141 edges, 128 tris — colorable; blocked
[4810s] iter 1775: candidate 145 edges, 134 tris — colorable; blocked
[4970s] iter 1800: candidate 142 edges, 137 tris — colorable; blocked
[5129s] iter 1825: candidate 164 edges, 144 tris — colorable; blocked
[5290s] iter 1850: candidate 179 edges, 163 tris — colorable; blocked
[5460s] iter 1875: candidate 184 edges, 164 tris — colorable; blocked
[5619s] iter 1900: candidate 152 edges, 131 tris — colorable; blocked
[5785s] iter 1925: candidate 169 edges, 153 tris — colorable; blocked
[5960s] iter 1950: candidate 176 edges, 162 tris — colorable; blocked
[6131s] iter 1975: candidate 188 edges, 178 tris — colorable; blocked
[6302s] iter 2000: candidate 174 edges, 158 tris — colorable; blocked
[6489s] iter 2025: candidate 201 edges, 175 tris — colorable; blocked
[6687s] iter 2050: candidate 188 edges, 165 tris — colorable; blocked
[6880s] iter 2075: candidate 171 edges, 150 tris — colorable; blocked
[7072s] iter 2100: candidate 171 edges, 152 tris — colorable; blocked
[7263s] iter 2125: candidate 181 edges, 158 tris — colorable; blocked
[7459s] iter 2150: candidate 184 edges, 164 tris — colorable; blocked
[7657s] iter 2175: candidate 188 edges, 168 tris — colorable; blocked
