resumed 0 counterexamples
[3s] iter 25: candidate 537 edges, 673 tris — colorable; blocked
[5s] iter 50: candidate 531 edges, 645 tris — colorable; blocked
[7s] iter 75: candidate 535 edges, 627 tris — colorable; blocked
[10s] iter 100: candidate 525 edges, 617 tris — colorable; blocked
[12s] iter 125: candidate 530 edges, 628 tris — colorable; blocked
[15s] iter 150: candidate 533 edges, 618 tris — colorable; blocked
[17s] iter 175: candidate 529 edges, 633 tris — colorable; blocked
[26s] iter 200: candidate 541 edges, 672 tris — colorable; blocked
[31s] iter 225: candidate 537 edges, 651 tris — colorable; blocked
[38s] iter 250: candidate 537 edges, 646 tris — colorable; blocked
[45s] iter 275: candidate 536 edges, 652 tris — colorable; blocked
[52s] iter 300: candidate 530 edges, 636 tris — colorable; blocked
[60s] iter 325: candidate 528 edges, 615 tris — colorable; blocked
[68s] iter 350: candidate 529 edges, 622 tris — colorable; blocked
[77s] iter 375: candidate 528 edges, 609 tris — colorable; blocked
[86s] iter 400: candidate 528 edges, 638 tris — colorable; blocked
[96s] iter 425: candidate 532 edges, 627 tris — colorable; blocked
[107s] iter 450: candidate 534 edges, 631 tris — colorable; blocked
[119s] iter 475: candidate 534 edges, 642 tris — colorable; blocked
[132s] iter 500: candidate 537 edges, 643 tris — colorable; blocked
[146s] iter 525: candidate 534 edges, 633 tris — colorable; blocked
[161s] iter 550: candidate 536 edges, 648 tris — colorable; blocked
[179s] iter 575: candidate 538 edges, 652 tris — colorable; blocked
[195s] iter 600: candidate 535 edges, 657 tris — colorable; blocked
[215s] iter 625: candidate 535 edges, 636 tris — colorable; blocked
[225s] iter 650: candidate 536 edges, 626 tris — colorable; blocked
[236s] iter 675: candidate 528 edges, 620 tris — colorable; blocked
[250s] iter 700: candidate 528 edges, 621 tris — colorable; blocked
[266s] iter 725: candidate 541 edges, 648 tris — colorable; blocked
[283s] iter 750: candidate 524 edges, 621 tris — colorable; blocked
[304s] iter 775: candidate 526 edges, 610 tris — colorable; blocked
[326s] iter 800: candidate 533 edges, 655 tris — colorable; blocked
[349s] iter 825: candidate 541 edges, 672 tris — colorable; blocked
[372s] iter 850: candidate 539 edges, 651 tris — colorable; blocked
[396s] iter 875: candidate 532 edges, 640 tris — colorable; blocked
[421s] iter 900: candidate 532 edges, 629 tris — colorable; blocked
[449s] iter 925: candidate 520 edges, 605 tris — colorable; blocked
[476s] iter 950: candidate 534 edges, 631 tris — colorable; blocked
[504s] iter 975: candidate 526 edges, 631 tris — colorable; blocked
[538s] iter 1000: candidate 523 edges, 603 tris — colorable; blocked
[572s] iter 1025: candidate 534 edges, 616 tris — colorable; blocked
[605s] iter 1050: candidate 528 edges, 629 tris — colorable; blocked
[638s] iter 1075: candidate 532 edges, 635 tris — colorable; blocked
[671s] iter 1100: candidate 523 edges, 614 tris — colorable; blocked
[707s] iter 1125: candidate 524 edges, 623 tris — colorable; blocked
[744s] iter 1150: candidate 539 edges, 650 tris — colorable; blocked
[800s] iter 1175: candidate 535 edges, 637 tris — colorable; blocked
[813s] iter 1200: candidate 530 edges, 606 tris — colorable; blocked
[830s] iter 1225: candidate 530 edges, 623 tris — colorable; blocked
[850s] iter 1250: candidate 534 edges, 638 tris — colorable; blocked
[873s] iter 1275: candidate 530 edges, 618 tris — colorable; blocked
[899s] iter 1300: candidate 522 edges, 608 tris — colorable; blocked
[929s] iter 1325: candidate 533 edges, 638 tris — colorable; blocked
[963s] iter 1350: candidate 535 edges, 659 tris — colorable; blocked
[997s] iter 1375: candidate 538 edges, 667 tris — colorable; blocked
[1032s] iter 1400: candidate 533 edges, 650 tris — colorable; blocked
[1072s] iter 1425: candidate 536 edges, 657 tris — colorable; blocked
[1112s] iter 1450: candidate 530 edges, 632 tris — colorable; blocked
[1156s] iter 1475: candidate 536 edges, 636 tris — colorable; blocked
[1201s] iter 1500: candidate 529 edges, 610 tris — colorable; blocked
[1253s] iter 1525: candidate 535 edges, 663 tris — colorable; blocked
[1302s] iter 1550: candidate 533 edges, 631 tris — colorable; blocked
[1353s] iter 1575: candidate 533 edges, 646 tris — colorable; blocked
[1406s] iter 1600: candidate 532 edges, 628 tris — colorable; blocked
[1459s] iter 1625: candidate 519 edges, 602 tris — colorable; blocked
[1517s] iter 1650: candidate 530 edges, 639 tris — colorable; blocked
[1574s] iter 1675: candidate 531 edges, 628 tris — colorable; blocked
[1630s] iter 1700: candidate 540 edges, 640 tris — colorable; blocked
[1691s] iter 1725: candidate 533 edges, 643 tris — colorable; blocked
[1754s] iter 1750: candidate 536 edges, 646 tris — colorable; blocked
[1822s] iter 1775: candidate 526 edges, 636 tris — colorable; blocked
[1885s] iter 1800: candidate 530 edges, 631 tris — colorable; blocked
[1954s] iter 1825: candidate 521 edges, 612 tris — colorable; blocked
[2024s] iter 1850: candidate 527 edges, 627 tris — colorable; blocked
[2089s] iter 1875: candidate 534 edges, 637 tris — colorable; blocked
[2162s] iter 1900: candidate 525 edges, 603 tris — colorable; blocked
[2243s] iter 1925: candidate 528 edges, 636 tris — colorable; blocked
[2322s] iter 1950: candidate 537 edges, 651 tris — colorable; blocked
[2405s] iter 1975: candidate 533 edges, 633 tris — colorable; blocked
[2490s] iter 2000: candidate 532 edges, 597 tris — colorable; blocked
[2579s] iter 2025: candidate 536 edges, 647 tris — colorable; blocked
[2663s] iter 2050: candidate 535 edges, 641 tris — colorable; blocked
[2792s] iter 2075: candidate 530 edges, 640 tris — colorable; blocked
[2817s] iter 2100: candidate 529 edges, 622 tris — colorable; blocked
[2846s] iter 2125: candidate 531 edges, 648 tris — colorable; blocked
[2883s] iter 2150: candidate 538 edges, 662 tris — colorable; blocked
[2927s] iter 2175: candidate 529 edges, 634 tris — colorable; blocked
[2977s] iter 2200: candidate 539 edges, 649 tris — colorable; blocked
[3032s] iter 2225: candidate 527 edges, 632 tris — colorable; blocked
[3086s] iter 2250: candidate 527 edges, 621 tris — colorable; blocked
[3147s] iter 2275: candidate 531 edges, 637 tris — colorable; blocked
[3227s] iter 2300: candidate 534 edges, 626 tris — colorable; blocked
[3296s] iter 2325: candidate 533 edges, 641 tris — colorable; blocked
[3373s] iter 2350: candidate 528 edges, 622 tris — colorable; blocked
[3451s] iter 2375: candidate 520 edges, 604 tris — colorable; blocked
[3523s] iter 2400: candidate 525 edges, 589 tris — colorable; blocked
[3605s] iter 2425: candidate 536 edges, 649 tris — colorable; blocked
[3687s] iter 2450: candidate 536 edges, 648 tris — colorable; blocked
[3773s] iter 2475: candidate 536 edges, 638 tris — colorable; blocked
[3856s] iter 2500: candidate 536 edges, 639 tris — colorable; blocked
[3946s] iter 2525: candidate 529 edges, 617 tris — colorable; blocked
[4047s] iter 2550: candidate 528 edges, 626 tris — colorable; blocked
[4144s] iter 2575: candidate 527 edges, 616 tris — colorable; blocked
[4252s] iter 2600: candidate 536 edges, 640 tris — colorable; blocked
[4364s] iter 2625: candidate 536 edges, 641 tris — colorable; blocked
[4478s] iter 2650: candidate 530 edges, 611 tris — colorable; blocked
[4598s] iter 2675: candidate 533 edges, 623 tris — colorable; blocked
[4714s] iter 2700: candidate 534 edges, 630 tris — colorable; blocked
[4835s] iter 2725: candidate 536 edges, 648 tris — colorable; blocked
[4956s] iter 2750: candidate 532 edges, 629 tris — colorable; blocked
[5092s] iter 2775: candidate 528 edges, 618 tris — colorable; blocked
[5225s] iter 2800: candidate 526 edges, 615 tris — colorable; blocked
[5370s] iter 2825: candidate 530 edges, 619 tris — colorable; blocked
[5510s] iter 2850: candidate 538 edges, 641 tris — colorable; blocked
[5668s] iter 2875: candidate 531 edges, 636 tris — colorable; blocked
[5809s] iter 2900: candidate 527 edges, 628 tris — colorable; blocked
[5950s] iter 2925: candidate 531 edges, 632 tris — colorable; blocked
[6096s] iter 2950: candidate 538 edges, 645 tris — colorable; blocked
[6235s] iter 2975: candidate 530 edges, 614 tris — colorable; blocked
[6366s] iter 3000: candidate 527 edges, 631 tris — colorable; blocked
[6510s] iter 3025: candidate 525 edges, 623 tris — colorable; blocked
