nohup: ignoring input
200 cubes, per-cube limit 30s, 4 jobs
cube 0: TIMEOUT   [1/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 1}]
cube 1: TIMEOUT   [2/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 2}]
cube 2: TIMEOUT   [3/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 3}]
cube 3: TIMEOUT   [4/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 4}]
cube 4: TIMEOUT   [5/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 5}]
cube 5: TIMEOUT   [6/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 6}]
cube 6: TIMEOUT   [7/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 7}]
cube 7: TIMEOUT   [8/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 8}]
cube 8: TIMEOUT   [9/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 9}]
cube 9: TIMEOUT   [10/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 10}]
cube 10: TIMEOUT   [11/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 11}]
cube 11: TIMEOUT   [12/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 12}]
cube 12: TIMEOUT   [13/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 13}]
cube 13: TIMEOUT   [14/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 14}]
cube 14: TIMEOUT   [15/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 15}]
cube 15: TIMEOUT   [16/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 16}]
cube 16: TIMEOUT   [17/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 17}]
cube 17: TIMEOUT   [18/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 18}]
cube 18: TIMEOUT   [19/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 19}]
cube 19: TIMEOUT   [20/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 20}]
