nohup: ignoring input
4096 cubes, 4096 to do, limit 120s, 6 jobs
[50/4096] {'VERIFIED': 50}
[100/4096] {'VERIFIED': 100}
[150/4096] {'VERIFIED': 150}
[200/4096] {'VERIFIED': 200}
[250/4096] {'VERIFIED': 250}
[300/4096] {'VERIFIED': 300}
[350/4096] {'VERIFIED': 350}
[400/4096] {'VERIFIED': 400}
[450/4096] {'VERIFIED': 450}
[500/4096] {'VERIFIED': 500}
[550/4096] {'VERIFIED': 550}
[600/4096] {'VERIFIED': 600}
[650/4096] {'VERIFIED': 650}
[700/4096] {'VERIFIED': 700}
[750/4096] {'VERIFIED': 750}
[800/4096] {'VERIFIED': 800}
[850/4096] {'VERIFIED': 850}
[900/4096] {'VERIFIED': 900}
[950/4096] {'VERIFIED': 950}
