nohup: ignoring input
4096 cubes, 3115 to do, limit 300s, 8 jobs
[50/3115] {'VERIFIED': 50}
[100/3115] {'VERIFIED': 100}
[150/3115] {'VERIFIED': 150}
[200/3115] {'VERIFIED': 200}
[250/3115] {'VERIFIED': 250}
[300/3115] {'VERIFIED': 300}
[350/3115] {'VERIFIED': 350}
[400/3115] {'VERIFIED': 400}
[450/3115] {'VERIFIED': 450}
[500/3115] {'VERIFIED': 500}
[550/3115] {'VERIFIED': 550}
[600/3115] {'VERIFIED': 600}
[650/3115] {'VERIFIED': 650}
[700/3115] {'VERIFIED': 700}
[750/3115] {'VERIFIED': 750}
[800/3115] {'VERIFIED': 800}
[850/3115] {'VERIFIED': 850}
[900/3115] {'VERIFIED': 900}
[950/3115] {'VERIFIED': 950}
[1000/3115] {'VERIFIED': 1000}
[1050/3115] {'VERIFIED': 1050}
[1100/3115] {'VERIFIED': 1100}
[1150/3115] {'VERIFIED': 1150}
[1200/3115] {'VERIFIED': 1200}
[1250/3115] {'VERIFIED': 1250}
[1300/3115] {'VERIFIED': 1300}
[1350/3115] {'VERIFIED': 1350}
[1400/3115] {'VERIFIED': 1400}
[1450/3115] {'VERIFIED': 1450}
[1500/3115] {'VERIFIED': 1500}
[1550/3115] {'VERIFIED': 1550}
[1600/3115] {'VERIFIED': 1600}
[1650/3115] {'VERIFIED': 1650}
[1700/3115] {'VERIFIED': 1700}
[1750/3115] {'VERIFIED': 1750}
[1800/3115] {'VERIFIED': 1800}
[1850/3115] {'VERIFIED': 1850}
[1900/3115] {'VERIFIED': 1900}
[1950/3115] {'VERIFIED': 1950}
[2000/3115] {'VERIFIED': 2000}
[2050/3115] {'VERIFIED': 2050}
[2100/3115] {'VERIFIED': 2100}
[2150/3115] {'VERIFIED': 2150}
[2200/3115] {'VERIFIED': 2200}
[2250/3115] {'VERIFIED': 2250}
[2300/3115] {'VERIFIED': 2300}
[2350/3115] {'VERIFIED': 2350}
[2400/3115] {'VERIFIED': 2400}
[2450/3115] {'VERIFIED': 2450}
[2500/3115] {'VERIFIED': 2500}
[2550/3115] {'VERIFIED': 2550}
[2600/3115] {'VERIFIED': 2600}
[2650/3115] {'VERIFIED': 2650}
[2700/3115] {'VERIFIED': 2700}
[2750/3115] {'VERIFIED': 2750}
[2800/3115] {'VERIFIED': 2800}
[2850/3115] {'VERIFIED': 2850}
[2900/3115] {'VERIFIED': 2900}
[2950/3115] {'VERIFIED': 2950}
[3000/3115] {'VERIFIED': 3000}
[3050/3115] {'VERIFIED': 3050}
[3100/3115] {'VERIFIED': 3100}
FINAL: {'VERIFIED': 3115}
