nohup: ignoring input
restart: best=249 steps=200000000
restart: best=248 steps=400000000
restart: best=248 steps=600000000
restart: best=247 steps=800000000
restart: best=245 steps=1000000000
restart: best=245 steps=1200000000
restart: best=245 steps=1400000000
restart: best=245 steps=1600000000
restart: best=245 steps=1800000000
restart: best=245 steps=2000000000
restart: best=245 steps=2200000000
restart: best=245 steps=2400000000
restart: best=245 steps=2600000000
restart: best=245 steps=2800000000
restart: best=245 steps=3000000000
restart: best=245 steps=3200000000
restart: best=245 steps=3400000000
restart: best=245 steps=3600000000
restart: best=245 steps=3800000000
restart: best=245 steps=4000000000
restart: best=245 steps=4200000000
restart: best=245 steps=4400000000
restart: best=245 steps=4600000000
restart: best=245 steps=4800000000
restart: best=245 steps=5000000000
restart: best=245 steps=5200000000
restart: best=245 steps=5400000000
restart: best=245 steps=5600000000
restart: best=245 steps=5800000000
restart: best=245 steps=6000000000
restart: best=245 steps=6200000000
