rotation	translation_id	rA	rB	vertices	exact_edges	proxy_at_1.9	status	method
w[15]	w_15_09952148bcbf	1.46	1.2420035798030784	2269	12039	87	SAT	triangle clique
w[15]	w_15_0b6f726b0765	1.46	1.2420035798030784	2269	12036	86	SAT	triangle clique
w[15]	w_15_304d063570cc	1.46	1.2420035798030784	2269	12034	80	SAT	triangle clique
w[15]	w_15_3c69d05ddf92	1.46	1.2420035798030784	2269	12033	80	SAT	triangle clique
w[15]	w_15_3e07397d03c4	1.46	1.2420035798030784	2269	12044	86	UNSAT	triangle clique
w[15]	w_15_43ec9f2f6e2b	1.46	1.2420035798030784	2269	12039	79	SAT	triangle clique
w[15]	w_15_46613355eb6b	1.46	1.2420035798030784	2269	12034	78	SAT	triangle clique
w[15]	w_15_4a07521f0580	1.46	1.2420035798030784	2269	12032	84	SAT	triangle clique
w[15]	w_15_5c1cd3fbbeb3	1.46	1.2420035798030784	2269	12034	82	SAT	triangle clique
w[15]	w_15_5fd129b0898d	1.46	1.2420035798030784	2269	12043	75	SAT	triangle clique
w[15]	w_15_63724d06a6cc	1.46	1.2420035798030784	2269	12035	79	SAT	triangle clique
w[15]	w_15_6d9fe5d939bd	1.46	1.2420035798030784	2269	12031	79	SAT	triangle clique
w[15]	w_15_7809296f6a89	1.46	1.2420035798030784	2269	12035	82	SAT	triangle clique
w[15]	w_15_785ea597955b	1.46	1.2420035798030784	2269	12034	81	SAT	triangle clique
w[15]	w_15_79edebb3ddc0	1.46	1.2420035798030784	2269	12038	83	SAT	triangle clique
w[15]	w_15_7b0c3e55d13d	1.46	1.2420035798030784	2269	12032	83	SAT	triangle clique
w[15]	w_15_7f2facb2df1b	1.46	1.2420035798030784	2269	12034	81	SAT	triangle clique
w[15]	w_15_8bbc062534f0	1.46	1.2420035798030784	2269	12035	75	SAT	triangle clique
w[15]	w_15_96521677f061	1.46	1.2420035798030784	2269	12040	81	SAT	triangle clique
w[15]	w_15_971492cc4404	1.46	1.2420035798030784	2269	12032	78	SAT	triangle clique
w[15]	w_15_9a45abe8e89b	1.46	1.2420035798030784	2269	12043	86	SAT	triangle clique
w[15]	w_15_9fa898074a32	1.46	1.2420035798030784	2269	12033	75	SAT	triangle clique
w[15]	w_15_a313fe6bff06	1.46	1.2420035798030784	2269	12040	86	SAT	triangle clique
w[15]	w_15_b015d8413ec3	1.46	1.2420035798030784	2269	12032	75	SAT	triangle clique
w[15]	w_15_b471e999ccbe	1.46	1.2420035798030784	2269	12035	87	SAT	triangle clique
w[15]	w_15_be57d9da80e6	1.46	1.2420035798030784	2269	12043	86	SAT	triangle clique
w[15]	w_15_c3858be72c37	1.46	1.2420035798030784	2269	12032	76	SAT	triangle clique
w[15]	w_15_c66b967584af	1.46	1.2420035798030784	2269	12034	77	SAT	triangle clique
w[15]	w_15_d2f919864fa5	1.46	1.2420035798030784	2269	12035	82	SAT	triangle clique
w[15]	w_15_e201c77f6560	1.46	1.2420035798030784	2269	12044	86	UNSAT	triangle clique
w[15]	w_15_e201c77f6560	1.46	1.2145958069026666	2233	11714	86	SAT	triangle clique
w[15]	w_15_3e07397d03c4	1.46	1.2145958069026666	2233	11714	86	SAT	triangle clique
w[15]	w_15_e985ff9c27d9	1.46	1.2420035798030784	2269	12044	88	SAT	triangle clique
w[15]	w_15_f07f016aa041	1.46	1.2420035798030784	2269	12031	79	SAT	triangle clique
w[15]	w_15_f7a9b142d42e	1.46	1.2420035798030784	2269	12031	79	SAT	triangle clique
w[15]	w_15_f8118fb32899	1.46	1.2420035798030784	2269	12043	86	SAT	triangle clique
